id,name,url,group,eliminated,prize
1,Algeria,ALG,J,FALSE,FALSE
2,Argentina,ARG,J,FALSE,FALSE
3,Australia,AUS,D,FALSE,FALSE
4,Austria,AUT,J,FALSE,FALSE
5,Belgium,BEL,G,FALSE,FALSE
6,Bosnia-Herzegovina,BOS,B,FALSE,FALSE
7,Brazil,BRA,C,FALSE,FALSE
8,Canada,CAN,B,FALSE,FALSE
9,Cape Verde,CPV,H,FALSE,FALSE
10,Colombia,COL,K,FALSE,FALSE
11,Congo DR,DRC,K,FALSE,FALSE
12,Croatia,CRO,L,FALSE,FALSE
13,Curaçao,CUR,E,FALSE,FALSE
14,Czechia,CZE,A,FALSE,FALSE
15,Ecuador,ECU,E,FALSE,FALSE
16,Egypt,EGY,G,FALSE,FALSE
17,England,ENG,L,FALSE,FALSE
18,France,FRA,I,FALSE,FALSE
19,Germany,GER,E,FALSE,FALSE
20,Ghana,GHA,L,FALSE,FALSE
21,Haiti,HAI,C,FALSE,FALSE
22,Iraq,IRQ,I,FALSE,FALSE
23,IR Iran,IRN,G,FALSE,FALSE
24,Ivory Coast,CDI,E,FALSE,FALSE
25,Japan,JPN,F,FALSE,FALSE
26,Jordan,JDN,J,FALSE,FALSE
27,Korea Republic,KOR,A,FALSE,FALSE
28,Mexico,MEX,A,FALSE,FALSE
29,Morocco,MAR,C,FALSE,FALSE
30,Netherlands,NED,F,FALSE,FALSE
31,New Zealand,NZL,G,FALSE,FALSE
32,Norway,NOR,I,FALSE,FALSE
33,Panama,PAN,L,FALSE,FALSE
34,Paraguay,PGY,D,FALSE,FALSE
35,Portugal,POR,K,FALSE,FALSE
36,Qatar,QAT,B,FALSE,FALSE
37,Saudi Arabia,SAU,H,FALSE,FALSE
38,Scotland,SCO,C,FALSE,FALSE
39,Senegal,SEN,I,FALSE,FALSE
40,South Africa,RSA,A,FALSE,FALSE
41,Spain,ESP,H,FALSE,FALSE
42,Sweden,SWE,F,FALSE,FALSE
43,Switzerland,SUI,B,FALSE,FALSE
44,Tunisia,TUN,F,FALSE,FALSE
45,Turkey,TUR,D,FALSE,FALSE
46,Uruguay,URU,H,FALSE,FALSE
47,USA,USA,D,FALSE,FALSE
48,Uzbekistan,UZB,K,FALSE,FALSE